ID;Nombre;ID_Interno;ID_Visible
225924.1032;DIRECCIÓN GEST. CAM. PUB. - 225924.1032 (Remoto);_1626137_1;MARK.6147.225924.1032.R
225841.1522;SIST. DE GEST. DE SE.INF. - 225841.1522 (Presencial);_1626136_1;ITEC.5118.225841.1522.P
224845.1234;COACHING Y TRABAJO EN EQUIPO - 224845.1234 (Remoto);_1626135_1;RRHH.5110.224845.1234.R
225818.1264;GESTIÓN ÁGIL DE PROYECTOS - 225818.1264 (Presencial);_1626134_1;MAGM.5177.225818.1264.P
225841.1871;SALUD MENTAL PUB PERSPECT EPID - 225841.1871 (Remoto);_1626133_1;MAGM.5230.225841.1871.R
225841.1373;CICLO DE VIDA DEL IMPAC. AMBI. - 225841.1373 (Remoto);_1626132_1;IAMB.5104.225841.1373.R
225841.1459;PLANIF.Y CONTROL DE LA CONST. - 225841.1459 (Remoto);_1626131_1;MAGM.5431.225841.1459.R
225832.1036;MÓDULO DE INVESTIGACIÓN - 225832.1036 (Remoto);_1626130_1;INVE.5236.225832.1036.R
225841.1616;FILOSOFÍA LEAN CONST - 225841.1616 (Remoto);_1626129_1;MAGM.5213.225841.1616.R
225841.1431;COACHING Y LIDERAZGO EDUCATIVO - 225841.1431 (Remoto);_1626128_1;RRHH.5129.225841.1431.R
224845.1567;GESTIÓN DE SERVICIOS DE TI - 224845.1567 (Remoto);_1626127_1;ITEC.5123.224845.1567.R
225841.1475;GESTIÓN DEL RRHH EN MINERÍA - 225841.1475 (Remoto);_1626126_1;MAGM.5184.225841.1475.R
225945.1003;DESARRO. SOSTE. Y POLIT. PUB. - 225945.1003 (Remoto);_1626125_1;MAGM.6106.225945.1003.R
224845.1643;CIUDAD. DESARROLLO SOSTENIBLE - 224845.1643 (Remoto);_1626124_1;MAGM.5181.224845.1643.R
225814.1119;MANAG. Y ESTRA. BIM - 225814.1119 (Remoto);_1626123_1;MAGM.5215.225814.1119.R
225841.1600;CIUDAD. DESARROLLO SOSTENIBLE - 225841.1600 (Remoto);_1626122_1;MAGM.5181.225841.1600.R
225841.1586;ANÁLISIS ECONÓMICO DE LOS IMP - 225841.1586 (Remoto);_1626121_1;ECON.5109.225841.1586.R
225814.1078;MÓDULO DE INVESTIGACIÓN GCGPPM - 225814.1078 (Remoto);_1626120_1;INVE.5018.225814.1078.R
224845.1536;PROC. DE RES. Y TRAN. DE CONF. - 224845.1536 (Remoto);_1626119_1;MAGM.5294.224845.1536.R
224845.1028;DERIVADOS FINANCIEROS - 224845.1028 (Presencial);_1626118_1;FINN.6103.224845.1028.P
225832.1115;COORDINACIÓN DE PROY - 225832.1115 (Remoto);_1626117_1;MAGM.5218.225832.1115.R
225841.1505;INNOVACIÓN Y TRANSF. DIGITAL - 225841.1505 (Remoto);_1626116_1;MAGM.5121.225841.1505.R
225841.1723;LIDERAZGO DIRECTIVO - 225841.1723 (Presencial);_1626115_1;MAGM.5126.225841.1723.P
225945.1011;IA APLICADA CREACIÓN CONTEN - 225945.1011 (Remoto);_1626114_1;MARK.5165.225945.1011.R
225841.1554;MEJORA PRODUCTIVIDAD CONST - 225841.1554 (Remoto);_1626113_1;MAGM.5212.225841.1554.R
225845.1033;SIST PRESUP PÚBLICO ESTADO - 225845.1033 (Remoto);_1626112_1;MAGM.5232.225845.1033.R
225841.1855;GESTIÓN CALIDAD NORMA ISO 9001 - 225841.1855 (Remoto);_1626111_1;MAGM.5135.225841.1855.R
224845.1041;NEG Y CONFLICTOS EN EL ESTADO - 224845.1041 (Presencial);_1626110_1;MAGM.6186.224845.1041.P
225837.1038;SIST.DE EVAL.DE LA CONFO.Y AUD - 225837.1038 (Remoto);_1626109_1;MAGM.5148.225837.1038.R
225814.1046;MÓDULO DE INVESTIGACIÓN GCGPPM - 225814.1046 (Remoto);_1626108_1;INVE.5018.225814.1046.R
225924.1019;MODERNIZACIÓN Y E-GOVERNMENT - 225924.1019 (Remoto);_1626107_1;MAGM.6179.225924.1019.R
225924.1009;PROYECTO DE DISRUPCIÓN TEC - 225924.1009 (Remoto);_1626106_1;ITEC.6124.225924.1009.R
224845.1372;STORYTELLING Y VISUALIZACIÓN - 224845.1372 (Presencial);_1626105_1;MAGM.5139.224845.1372.P
225837.1056;GER. ESTRATÉGICA DE LA CALIDAD - 225837.1056 (Remoto);_1626104_1;MAGM.5144.225837.1056.R
225841.1403;LID. GEST. DE EQUIPOS DE PROY - 225841.1403 (Remoto);_1626103_1;MAGM.5214.225841.1403.R
225841.1356;COACHING Y LIDERAZGO EDUCATIVO - 225841.1356 (Remoto);_1626102_1;RRHH.5129.225841.1356.R
225841.1385;AGILIDAD ORGANIZACIONAL - 225841.1385 (Remoto);_1626101_1;MAGM.5416.225841.1385.R
225845.1020;GERENCIA ESTRAT DE LA CALIDAD - 225845.1020 (Remoto);_1626100_1;MAGM.5438.225845.1020.R
225843.1048;GESTIÓN ESTRATÉGICA EN INGEN. - 225843.1048 (Remoto);_1626099_1;MAGM.5316.225843.1048.R
225841.1840;NETWORKING CLOUD - 225841.1840 (Remoto);_1626098_1;MAGM.5200.225841.1840.R
225841.1693;COACHING ONTOLOGICO - 225841.1693 (Remoto);_1626097_1;RRHH.5123.225841.1693.R
225841.1415;FILOSOFÍA LEAN CONST - 225841.1415 (Presencial);_1626096_1;MAGM.5213.225841.1415.P
225832.1077;FILOSOFÍA LEAN CONST - 225832.1077 (Remoto);_1626095_1;MAGM.5213.225832.1077.R
225841.1447;FINANZAS CORPORATIVAS - 225841.1447 (Remoto);_1626094_1;FINN.5127.225841.1447.R
